node	Loc	RTK70R
HM119726	Central Africa	sensitive
HM119778	Central Africa	sensitive
HM572408	East Africa	sensitive
node_2958	Central Africa	sensitive
KM050008	Central Africa	sensitive
node_2960	Central Africa	sensitive
KM050182	Central Africa	sensitive
HM119846	Central Africa	sensitive
HM191532	Europe	sensitive
node_2986	Europe	sensitive
HM191535	Europe	sensitive
HM191534	Europe	sensitive
node_2995	East Africa	sensitive
node_3003	East Africa	sensitive
node_3012	East Africa	sensitive
node_3105	East Africa	sensitive
node_3111	East Africa	sensitive
node_3113	East Africa	sensitive
AM260259	East Africa	sensitive
EU248558	Europe	sensitive
AM260295	East Africa	sensitive
node_3323	East Africa	sensitive
node_3328	East Africa	sensitive
node_3329	Europe	sensitive
node_3338	South America	sensitive
node_3341	South America	sensitive
DQ344003	South America	sensitive
node_3345	South America	sensitive
FJ591590	South America	sensitive
node_3354	South America	sensitive
DQ191006	South America	sensitive
node_3365	South America	sensitive
node_3376	South America	sensitive
node_3592	South America	sensitive
AY772691	South Africa	sensitive
DQ351229	South Africa	sensitive
AY829275	Southern Africa ex SA	sensitive
node_80	Southern Africa ex SA	sensitive
AF110979	Southern Africa ex SA	sensitive
node_82	Southern Africa ex SA	sensitive
FJ199563	South Africa	sensitive
node_148	Southern Africa ex SA	sensitive
node_152	South Africa	sensitive
node_155	Southern Africa ex SA	sensitive
KM050135	Central Africa	sensitive
HM119703	Central Africa	sensitive
KM050578	Central Africa	sensitive
HM119775	Central Africa	sensitive
node_269	Asia	sensitive
node_274	Asia	sensitive
node_303	Asia	sensitive
node_316	Asia	sensitive
node_585	Asia	sensitive
node_590	Asia	sensitive
node_620	Asia	sensitive
node_623	Asia	sensitive
HM119698	Central Africa	sensitive
HM119811	Central Africa	sensitive
HM120133	Central Africa	sensitive
node_747	Central Africa	sensitive
HM120105	Central Africa	sensitive
KM050106	Central Africa	sensitive
HM119950	Central Africa	sensitive
EU251855	East Africa	sensitive
node_764	Central Africa	sensitive
node_765	Central Africa	sensitive
KM050003	Central Africa	sensitive
AF286224	Central Africa	sensitive
KM050737	Central Africa	sensitive
EF602616	Southern Africa ex SA	sensitive
AJ287041	Europe	sensitive
node_783	Central Africa	sensitive
node_1179	Central Africa	sensitive
node_1189	Central Africa	sensitive
node_1189	South Africa	
AY165213	Europe	sensitive
node_1193	Central Africa	sensitive
HM119641	Central Africa	sensitive
GQ399364	Europe	sensitive
EU152455	South Africa	sensitive
node_1205	Central Africa	sensitive
node_1211	Central Africa	sensitive
node_1355	Central Africa	sensitive
HM119901	Central Africa	sensitive
node_1572	Central Africa	sensitive
AY253317	East Africa	sensitive
node_1576	Europe	sensitive
node_1584	Horn of Africa	sensitive
node_1586	Horn of Africa	sensitive
KM050760	Central Africa	sensitive
GQ400394	Europe	sensitive
EU693717	North America	sensitive
node_1597	Central Africa	sensitive
AF361875	East Africa	sensitive
node_1606	Central Africa	sensitive
KM050080	Central Africa	sensitive
GQ427132	Central Africa	sensitive
node_1620	West Africa	sensitive
node_1676	Central Africa	sensitive
GQ399252	Europe	sensitive
node_1678	Central Africa	sensitive
GQ433814	Central Africa	sensitive
DQ396379	South Africa	sensitive
node_1690	Central Africa	sensitive
node_1776	Central Africa	sensitive
KM050328	Central Africa	sensitive
node_1780	Central Africa	sensitive
KM050690	Central Africa	sensitive
node_1789	Central Africa	sensitive
node_1791	Central Africa	sensitive
node_1797	Central Africa	sensitive
node_1804	Central Africa	sensitive
node_1806	Central Africa	sensitive
HM119730	Central Africa	sensitive
KM050635	Central Africa	sensitive
AY756844	Southern Africa ex SA	sensitive
node_1810	Central Africa	sensitive
HM119640	Central Africa	sensitive
AF443094	Southern Africa ex SA	sensitive
node_1815	Southern Africa ex SA	sensitive
node_1819	South Africa	sensitive
node_1822	Central Africa	sensitive
node_1830	Central Africa	sensitive
HM120011	Central Africa	sensitive
node_1835	Central Africa	sensitive
FJ670521	Europe	sensitive
node_1837	Europe	sensitive
GQ433880	Central Africa	sensitive
DQ164129	South Africa	sensitive
node_1857	Central Africa	sensitive
node_1859	Central Africa	sensitive
FJ445715	Southern Africa ex SA	sensitive
node_1880	Central Africa	sensitive
AY165252	Europe	sensitive
AY165253	Europe	sensitive
AY829316	Southern Africa ex SA	sensitive
node_1885	South Africa	sensitive
DQ396381	South Africa	sensitive
AY829304	Southern Africa ex SA	sensitive
JN687654	South Africa	sensitive
HM119707	Central Africa	sensitive
HM119658	Central Africa	sensitive
HM119785	Central Africa	sensitive
KX907380	East Africa	sensitive
HM119918	Central Africa	sensitive
KM050370	Central Africa	sensitive
HM119916	Central Africa	sensitive
AY589919	South Africa	sensitive
EU854561	South Africa	sensitive
KM050201	Central Africa	sensitive
node_1910	Central Africa	sensitive
HM119716	Central Africa	sensitive
EF602229	South Africa	sensitive
node_1949	Europe	sensitive
node_1958	Europe	sensitive
GQ399346	Europe	sensitive
node_1965	Europe	sensitive
HM119977	Central Africa	sensitive
node_1972	Central Africa	sensitive
node_1977	Central Africa	sensitive
node_1982	Central Africa	sensitive
HM119817	Central Africa	sensitive
node_1992	Central Africa	sensitive
HM120129	Central Africa	sensitive
HM120022	Central Africa	sensitive
node_2005	Central Africa	sensitive
node_2008	Central Africa	sensitive
node_2017	Central Africa	sensitive
node_2019	Central Africa	sensitive
node_2024	South Africa	sensitive
node_2025	Europe	sensitive
KM050122	Central Africa	sensitive
GQ399517	Europe	sensitive
HM120003	Central Africa	sensitive
AY829328	Southern Africa ex SA	sensitive
node_2037	Central Africa	sensitive
node_2043	Central Africa	sensitive
HM102331	Europe	sensitive
AY444800	North America	sensitive
node_2050	Central Africa	sensitive
node_2054	Central Africa	sensitive
HM119937	Central Africa	sensitive
node_2059	Central Africa	sensitive
KM050000	Central Africa	sensitive
node_2063	Central Africa	sensitive
node_2068	Central Africa	sensitive
node_2069	Central Africa	sensitive
FR666608	Central Africa	sensitive
GU199578	Southern Africa ex SA	sensitive
node_2074	Central Africa	sensitive
node_2080	Central Africa	sensitive
HM120074	Central Africa	sensitive
node_2084	Central Africa	sensitive
KM050679	Central Africa	sensitive
KM050132	Central Africa	sensitive
AM071439	Southern Africa ex SA	sensitive
node_2095	Central Africa	sensitive
KM050229	Central Africa	sensitive
AY589921	South Africa	sensitive
KF716467	Central Africa	sensitive
node_2099	South Africa	sensitive
GQ427115	Central Africa	sensitive
AY589901	South Africa	sensitive
node_2134	Central Africa	sensitive
node_2180	Central Africa	sensitive
AY589906	South Africa	sensitive
AF286234	East Africa	sensitive
node_2187	Central Africa	sensitive
node_2191	Central Africa	sensitive
HM120034	Central Africa	sensitive
node_2193	Central Africa	sensitive
EF602589	Southern Africa ex SA	sensitive
node_2199	South Africa	sensitive
node_2199	Southern Africa ex SA	
node_2223	South Africa	sensitive
node_2223	Southern Africa ex SA	
node_2227	South Africa	sensitive
node_2227	Southern Africa ex SA	
GU199539	Southern Africa ex SA	sensitive
AY756826	Southern Africa ex SA	sensitive
HM120095	Central Africa	sensitive
node_2234	Central Africa	sensitive
KX907392	East Africa	sensitive
node_2236	Central Africa	sensitive
AF411967	South Africa	sensitive
node_2241	Southern Africa ex SA	sensitive
KM050652	Central Africa	sensitive
GQ427121	Central Africa	sensitive
KM050766	Central Africa	sensitive
HM119647	Central Africa	sensitive
KM050643	Central Africa	sensitive
node_2253	Central Africa	sensitive
AY463237	South Africa	sensitive
DQ351224	South Africa	sensitive
HM119710	Central Africa	sensitive
HM119931	Central Africa	sensitive
KM050352	Central Africa	sensitive
HM119791	Central Africa	sensitive
node_2277	Central Africa	sensitive
node_2278	Central Africa	sensitive
AY829286	Southern Africa ex SA	sensitive
node_2280	Central Africa	sensitive
AY838567	South Africa	sensitive
AY585268	South Africa	sensitive
KM050751	Central Africa	sensitive
node_2288	Central Africa	sensitive
node_2296	Central Africa	sensitive
node_2297	Central Africa	sensitive
node_2309	Central Africa	sensitive
node_2310	East Africa	sensitive
node_2315	Central Africa	sensitive
node_2316	Central Africa	sensitive
AY756885	Southern Africa ex SA	sensitive
node_2325	Central Africa	sensitive
node_2339	Central Africa	sensitive
node_2341	Central Africa	sensitive
node_2345	Central Africa	sensitive
node_2681	Central Africa	sensitive
node_2733	Central Africa	sensitive
node_2786	Central Africa	sensitive
node_2794	Central Africa	sensitive
node_2798	Central Africa	sensitive
node_2890	Central Africa	sensitive
node_2940	Central Africa	sensitive
KM050746	Central Africa	sensitive
node_2943	Central Africa	sensitive
AY829324	Southern Africa ex SA	sensitive
node_2945	Central Africa	sensitive
HM119677	Central Africa	sensitive
node_2957	Central Africa	sensitive
KM050150	Central Africa	sensitive
HM120001	Central Africa	sensitive
HM191536	Europe	sensitive
HM191533	Europe	sensitive
node_2991	East Africa	sensitive
node_2994	East Africa	sensitive
node_3000	East Africa	sensitive
node_3002	East Africa	sensitive
node_3007	East Africa	sensitive
node_3011	East Africa	sensitive
node_3095	East Africa	sensitive
node_3104	East Africa	sensitive
AM260235	East Africa	sensitive
node_3110	East Africa	sensitive
AM260273	East Africa	sensitive
node_3112	East Africa	sensitive
node_3317	East Africa	sensitive
node_3322	East Africa	sensitive
AM260299	East Africa	sensitive
node_3327	East Africa	sensitive
EU255513	Europe	sensitive
EU255476	Europe	sensitive
HQ127462	South America	sensitive
EF379176	South America	sensitive
node_3340	South America	sensitive
GQ401321	South America	sensitive
DQ518520	South America	sensitive
EU340715	South America	sensitive
FJ591552	South America	sensitive
node_3353	South America	sensitive
node_3358	South America	sensitive
node_3364	South America	sensitive
node_3368	South America	sensitive
node_3375	South America	sensitive
node_3381	South America	sensitive
node_3591	South America	sensitive
AF443091	Southern Africa ex SA	sensitive
AY829268	Southern Africa ex SA	sensitive
AF110981	Southern Africa ex SA	sensitive
AF110980	Southern Africa ex SA	sensitive
node_137	Southern Africa ex SA	sensitive
node_147	Southern Africa ex SA	sensitive
DQ056405	South Africa	sensitive
node_151	South Africa	sensitive
AF443093	Southern Africa ex SA	sensitive
node_154	Southern Africa ex SA	sensitive
node_263	Asia	sensitive
node_268	Asia	sensitive
node_272	Asia	sensitive
node_273	Asia	sensitive
node_293	Asia	sensitive
node_302	Asia	sensitive
node_313	Asia	sensitive
node_315	Asia	sensitive
node_324	Asia	sensitive
node_584	Asia	sensitive
node_588	Asia	sensitive
node_589	Asia	sensitive
node_606	Asia	sensitive
node_619	Asia	sensitive
EU110059	Asia	sensitive
node_622	Asia	sensitive
HM120071	Central Africa	sensitive
node_746	Europe	sensitive
GQ427129	Central Africa	sensitive
HM119822	Central Africa	sensitive
KM050576	Central Africa	sensitive
KM050577	Central Africa	sensitive
AY255826	Europe	sensitive
node_782	Central Africa	sensitive
node_1028	Central Africa	sensitive
node_1178	Central Africa	sensitive
node_1180	South Africa	sensitive
node_1188	Central Africa	sensitive
node_1188	South Africa	
HM119611	Central Africa	sensitive
node_1192	Central Africa	sensitive
KM050449	Central Africa	sensitive
node_1204	Central Africa	sensitive
HM120047	Central Africa	sensitive
node_1210	Central Africa	sensitive
node_1329	Central Africa	sensitive
node_1354	Central Africa	sensitive
node_1365	Central Africa	sensitive
node_1365	South Africa	
node_1571	Central Africa	sensitive
AY165207	Europe	sensitive
AY460120	Europe	sensitive
AY377430	Europe	sensitive
node_1583	Horn of Africa	sensitive
AB285813	Horn of Africa	sensitive
node_1585	Horn of Africa	sensitive
KX907407	East Africa	sensitive
node_1596	Central Africa	sensitive
node_1603	Central Africa	sensitive
node_1605	Central Africa	sensitive
node_1617	West Africa	sensitive
node_1619	West Africa	sensitive
node_1645	Central Africa	sensitive
node_1675	Central Africa	sensitive
HM119696	Central Africa	sensitive
HM119968	Central Africa	sensitive
node_1684	Central Africa	sensitive
node_1689	South Africa	sensitive
node_1722	Central Africa	sensitive
node_1775	Central Africa	sensitive
HM119910	Central Africa	sensitive
node_1779	Central Africa	sensitive
node_1787	Central Africa	sensitive
node_1788	Central Africa	sensitive
KM050547	Central Africa	sensitive
FJ445706	Southern Africa ex SA	sensitive
KM049991	Central Africa	sensitive
node_1796	Central Africa	sensitive
GQ433832	Central Africa	sensitive
node_1803	South Africa	sensitive
GQ433846	Central Africa	sensitive
node_1805	Central Africa	sensitive
node_1805	South Africa	
HM119783	Central Africa	sensitive
HM120079	Central Africa	sensitive
EF602584	Southern Africa ex SA	sensitive
AF443112	Southern Africa ex SA	sensitive
node_1816	South Africa	sensitive
node_1818	South Africa	sensitive
AY756833	Southern Africa ex SA	sensitive
node_1821	Central Africa	sensitive
node_1823	Central Africa	sensitive
node_1829	South Africa	sensitive
KM050027	Central Africa	sensitive
node_1834	Central Africa	sensitive
KC473844	Europe	sensitive
EU786673	Europe	sensitive
KM050575	Central Africa	sensitive
KX907366	East Africa	sensitive
node_1858	Southern Africa ex SA	resistant
HM120101	Central Africa	sensitive
GQ399593	Europe	sensitive
node_1879	Central Africa	sensitive
FJ199633	South Africa	sensitive
DQ369987	South Africa	sensitive
GU199527	Southern Africa ex SA	sensitive
HM119858	Central Africa	sensitive
AY196501	South Africa	sensitive
EU248293	Europe	sensitive
node_1954	Europe	sensitive
node_1957	Europe	sensitive
FJ360883	Europe	sensitive
node_1964	Europe	sensitive
HM120035	Central Africa	sensitive
node_1971	Central Africa	sensitive
node_1975	Central Africa	sensitive
node_1976	Central Africa	sensitive
node_1979	Central Africa	sensitive
node_1981	Central Africa	sensitive
HM119828	Central Africa	sensitive
HM119964	Central Africa	sensitive
node_2001	Central Africa	sensitive
node_2004	Central Africa	sensitive
node_2006	Central Africa	sensitive
node_2007	Central Africa	sensitive
HM119890	Central Africa	sensitive
node_2016	Central Africa	sensitive
GQ433876	Central Africa	sensitive
node_2018	Central Africa	sensitive
node_2021	South Africa	sensitive
node_2023	South Africa	sensitive
GQ399972	Europe	sensitive
GQ400193	Europe	sensitive
EF602614	Southern Africa ex SA	sensitive
node_2036	Central Africa	sensitive
node_2040	Central Africa	sensitive
node_2042	Central Africa	sensitive
HM119917	Central Africa	sensitive
node_2049	Central Africa	sensitive
node_2051	Central Africa	sensitive
node_2051	Europe	
node_2053	Central Africa	sensitive
AY829272	Southern Africa ex SA	sensitive
node_2058	Central Africa	sensitive
HM120013	Central Africa	sensitive
node_2062	East Africa	sensitive
KM050437	Central Africa	sensitive
EU293445	South Africa	sensitive
GQ427125	Central Africa	sensitive
GQ433836	Central Africa	sensitive
GQ433818	Central Africa	sensitive
node_2073	Central Africa	sensitive
node_2078	Central Africa	sensitive
node_2079	Central Africa	sensitive
KM050225	Central Africa	sensitive
GQ433890	Central Africa	sensitive
node_2093	Central Africa	sensitive
node_2094	Central Africa	sensitive
DQ369994	South Africa	sensitive
EU152414	South Africa	sensitive
node_2130	Central Africa	sensitive
node_2133	Central Africa	sensitive
node_2139	Central Africa	sensitive
node_2179	Central Africa	sensitive
node_2185	Central Africa	sensitive
node_2186	Central Africa	sensitive
HM119995	Central Africa	sensitive
node_2190	Central Africa	sensitive
HM119607	Central Africa	sensitive
HM119635	Central Africa	sensitive
JF683768	Europe	sensitive
node_2198	South Africa	sensitive
node_2220	South Africa	sensitive
node_2220	Southern Africa ex SA	
node_2222	South Africa	sensitive
node_2222	Southern Africa ex SA	
AY756840	Southern Africa ex SA	sensitive
node_2226	South Africa	sensitive
node_2232	Central Africa	sensitive
node_2233	Central Africa	sensitive
HM119961	Central Africa	sensitive
AY829303	Southern Africa ex SA	sensitive
node_2239	Southern Africa ex SA	sensitive
node_2240	Southern Africa ex SA	sensitive
EF602240	South Africa	sensitive
HM120033	Central Africa	sensitive
KM050227	Central Africa	sensitive
GQ433834	Central Africa	sensitive
HM119843	Central Africa	sensitive
AY165224	Europe	sensitive
KM050641	Central Africa	sensitive
KM050462	Central Africa	sensitive
HM119608	Central Africa	sensitive
HM119780	Central Africa	sensitive
node_2290	Central Africa	sensitive
node_2295	Central Africa	sensitive
KM050179	Central Africa	sensitive
AY196509	South Africa	sensitive
KM050011	Central Africa	sensitive
KM050662	Central Africa	sensitive
AY253308	East Africa	sensitive
CQ891779	East Africa	sensitive
node_2314	Central Africa	sensitive
AY829281	Southern Africa ex SA	sensitive
HM119854	Central Africa	sensitive
EF602622	Southern Africa ex SA	sensitive
node_2323	Central Africa	sensitive
node_2324	Central Africa	sensitive
node_2332	South Africa	sensitive
node_2338	Central Africa	sensitive
HM119768	Central Africa	sensitive
node_2340	Central Africa	sensitive
node_2340	Europe	
AY136960	South Africa	sensitive
node_2344	Central Africa	sensitive
node_2678	Central Africa	sensitive
node_2680	Asia	sensitive
node_2680	Central Africa	
node_2722	Central Africa	sensitive
node_2732	Central Africa	sensitive
node_2779	South Africa	sensitive
node_2785	Central Africa	sensitive
node_2791	Central Africa	sensitive
node_2793	Central Africa	sensitive
KM050032	Central Africa	sensitive
node_2797	Europe	sensitive
KM049922	Central Africa	sensitive
node_2889	Central Africa	sensitive
node_2894	Central Africa	sensitive
node_2894	South Africa	
node_2894	Southern Africa ex SA	
node_2939	Central Africa	sensitive
HM119638	Central Africa	sensitive
GU199554	Southern Africa ex SA	sensitive
DQ275664	South Africa	sensitive
KM050474	Central Africa	sensitive
HM119857	Central Africa	sensitive
node_2956	Central Africa	sensitive
GQ400585	Europe	sensitive
node_2990	East Africa	sensitive
AM260277	East Africa	sensitive
node_2993	East Africa	sensitive
node_2998	East Africa	sensitive
node_2999	East Africa	sensitive
AM260312	East Africa	sensitive
node_3001	East Africa	sensitive
EU251845	East Africa	sensitive
node_3006	East Africa	sensitive
AM260274	East Africa	sensitive
node_3010	East Africa	sensitive
node_3024	East Africa	sensitive
node_3094	East Africa	sensitive
node_3102	East Africa	sensitive
node_3103	East Africa	sensitive
AM260314	East Africa	sensitive
node_3109	East Africa	sensitive
AM260283	East Africa	sensitive
AM260302	East Africa	sensitive
node_3315	East Africa	sensitive
node_3316	East Africa	sensitive
AM260310	East Africa	sensitive
node_3321	East Africa	sensitive
GQ401022	Europe	sensitive
node_3326	East Africa	sensitive
GQ401322	South America	sensitive
node_3339	South America	sensitive
node_3351	South America	sensitive
node_3352	South America	sensitive
FJ591281	South America	sensitive
node_3357	South America	sensitive
FJ591327	South America	sensitive
node_3363	South America	sensitive
HQ127596	South America	sensitive
node_3367	South America	sensitive
node_3373	South America	sensitive
node_3374	South America	sensitive
node_3378	South America	sensitive
node_3380	South America	sensitive
node_3400	South America	sensitive
node_3590	South America	sensitive
AY878062	South Africa	sensitive
node_136	Southern Africa ex SA	sensitive
node_144	Southern Africa ex SA	sensitive
node_146	Southern Africa ex SA	sensitive
DQ056404	South Africa	sensitive
node_150	South Africa	sensitive
GQ999972	South Africa	sensitive
node_153	Southern Africa ex SA	sensitive
node_255	Asia	sensitive
node_262	Asia	sensitive
EU248356	Europe	sensitive
node_267	Asia	sensitive
EU683786	Asia	sensitive
node_271	Asia	sensitive
EU030414	Asia	sensitive
EU110077	Asia	sensitive
node_288	Asia	sensitive
node_292	Asia	sensitive
node_298	Asia	sensitive
node_301	Asia	sensitive
EF694033	Asia	sensitive
node_312	Asia	sensitive
FJ878962	Asia	sensitive
node_314	Asia	sensitive
EU683794	Asia	sensitive
node_323	Asia	sensitive
node_499	Asia	sensitive
node_583	Asia	sensitive
node_586	Asia	sensitive
node_587	Europe	sensitive
FJ878941	Asia	sensitive
AY746373	Asia	sensitive
node_596	Asia	sensitive
node_605	Asia	sensitive
node_608	Asia	sensitive
node_618	Asia	sensitive
DQ826629	Asia	sensitive
node_621	Asia	sensitive
EU673406	Europe	sensitive
node_745	Europe	sensitive
EF602174	South Africa	sensitive
AM040985	Central Africa	sensitive
HM120147	Central Africa	sensitive
node_1027	Central Africa	sensitive
node_1147	Central Africa	sensitive
node_1177	Central Africa	sensitive
EU854497	South Africa	sensitive
EU854498	South Africa	sensitive
GQ241015	Europe	sensitive
node_1187	Central Africa	sensitive
node_1187	South Africa	
AY756830	Southern Africa ex SA	sensitive
node_1191	Central Africa	sensitive
node_1202	Central Africa	sensitive
node_1203	Central Africa	sensitive
node_1203	South Africa	
node_1208	Central Africa	sensitive
node_1209	Central Africa	sensitive
node_1327	Central Africa	sensitive
node_1328	Central Africa	sensitive
node_1347	Central Africa	sensitive
node_1353	Central Africa	sensitive
EF602592	Southern Africa ex SA	sensitive
node_1364	South Africa	sensitive
node_1380	Central Africa	sensitive
node_1570	Central Africa	sensitive
AB285793	Horn of Africa	sensitive
node_1582	Horn of Africa	sensitive
AY102491	Horn of Africa	sensitive
AB285816	Horn of Africa	sensitive
GQ427126	Central Africa	sensitive
node_1595	Central Africa	sensitive
GQ400682	Europe	sensitive
node_1602	Asia	sensitive
HM119815	Central Africa	sensitive
node_1604	Central Africa	sensitive
FN599776	West Africa	sensitive
HE588150	West Africa	sensitive
HM002544	West Africa	sensitive
node_1618	West Africa	sensitive
node_1622	Central Africa	sensitive
node_1644	Central Africa	sensitive
node_1673	Central Africa	sensitive
node_1674	Central Africa	sensitive
HM119838	Central Africa	sensitive
HE588149	West Africa	sensitive
GQ241017	Europe	sensitive
node_1688	South Africa	sensitive
node_1716	Central Africa	sensitive
node_1721	Central Africa	sensitive
node_1771	Central Africa	sensitive
node_1774	Central Africa	sensitive
KM050123	Central Africa	sensitive
node_1778	Central Africa	sensitive
KM050560	Central Africa	sensitive
node_1786	Central Africa	sensitive
FJ445708	Southern Africa ex SA	resistant
EU152471	South Africa	sensitive
node_1794	Central Africa	sensitive
node_1794	Europe	
node_1795	Central Africa	sensitive
EU152435	South Africa	sensitive
EU152436	South Africa	sensitive
FJ445702	Southern Africa ex SA	sensitive
EU152433	South Africa	sensitive
AY585266	South Africa	sensitive
EF602199	South Africa	sensitive
AY901981	South Africa	sensitive
node_1817	South Africa	sensitive
AY694298	Europe	sensitive
GQ433860	Central Africa	sensitive
KM050115	Central Africa	sensitive
AY444801	North America	sensitive
node_1827	South Africa	sensitive
node_1828	South Africa	sensitive
AY829282	Southern Africa ex SA	sensitive
node_1833	Europe	sensitive
FJ445707	Southern Africa ex SA	resistant
FJ445727	Southern Africa ex SA	resistant
KM050623	Central Africa	sensitive
node_1878	Central Africa	sensitive
node_1950	Europe	sensitive
node_1953	Europe	sensitive
AY829291	Southern Africa ex SA	sensitive
node_1956	Europe	sensitive
FJ360881	Europe	sensitive
node_1963	Europe	sensitive
KX907388	East Africa	sensitive
EU856363	Southern Africa ex SA	sensitive
HM119912	Central Africa	sensitive
FJ445709	Southern Africa ex SA	sensitive
HM119803	Central Africa	sensitive
AY589937	South Africa	sensitive
HM119747	Central Africa	sensitive
node_1978	South Africa	sensitive
HM120119	Central Africa	sensitive
node_1980	Central Africa	sensitive
node_1999	Central Africa	sensitive
node_2000	Central Africa	sensitive
node_2002	South Africa	sensitive
node_2003	Central Africa	sensitive
KM050096	Central Africa	sensitive
HM119827	Central Africa	sensitive
KM050686	Central Africa	sensitive
GQ427117	Central Africa	sensitive
GQ427128	Central Africa	sensitive
FR666625	Central Africa	sensitive
HM119654	Central Africa	sensitive
HM119784	Central Africa	sensitive
AY589934	South Africa	sensitive
AM071419	Southern Africa ex SA	sensitive
EF602217	South Africa	sensitive
node_2022	South Africa	sensitive
GU253422	South Africa	sensitive
node_2035	Central Africa	sensitive
KX907375	East Africa	sensitive
node_2039	Central Africa	sensitive
KM050756	Central Africa	sensitive
node_2041	Central Africa	sensitive
KM050231	Central Africa	sensitive
node_2048	Central Africa	sensitive
AY165220	Europe	sensitive
AM071446	Southern Africa ex SA	sensitive
GQ433893	Central Africa	sensitive
node_2052	Central Africa	sensitive
node_2056	Central Africa	sensitive
node_2057	Central Africa	sensitive
KX907395	East Africa	sensitive
KX907394	East Africa	sensitive
KM050105	Central Africa	sensitive
HM120005	Central Africa	sensitive
HM119662	Central Africa	sensitive
node_2077	Central Africa	sensitive
HM119852	Central Africa	sensitive
HM119776	Central Africa	sensitive
HM119793	Central Africa	sensitive
HM119617	Central Africa	sensitive
HM119909	Central Africa	sensitive
HM119853	Central Africa	sensitive
KM050744	Central Africa	sensitive
AY829306	Southern Africa ex SA	sensitive
node_2131	Southern Africa ex SA	sensitive
node_2132	Central Africa	sensitive
KM050685	Central Africa	sensitive
node_2138	Central Africa	sensitive
node_2149	Central Africa	sensitive
node_2178	Central Africa	sensitive
HM119734	Central Africa	sensitive
HM120116	Central Africa	sensitive
HM119979	Central Africa	sensitive
KT982201	North America	sensitive
MF373136	Europe	sensitive
node_2189	Central Africa	sensitive
DQ396364	South Africa	sensitive
FJ199629	South Africa	sensitive
FJ199618	South Africa	sensitive
node_2219	South Africa	sensitive
node_2219	Southern Africa ex SA	
AY589896	South Africa	sensitive
node_2221	South Africa	sensitive
node_2221	Southern Africa ex SA	
EF602190	South Africa	sensitive
node_2225	South Africa	sensitive
GQ433868	Central Africa	sensitive
GQ433871	Central Africa	sensitive
KM050004	Central Africa	sensitive
JN687647	South Africa	sensitive
GU199571	Southern Africa ex SA	sensitive
AY756849	Southern Africa ex SA	sensitive
AY756862	Southern Africa ex SA	sensitive
EF602189	South Africa	sensitive
KM050556	Central Africa	sensitive
EF514713	Europe	sensitive
node_2292	Central Africa	sensitive
node_2294	Central Africa	sensitive
node_2294	South Africa	
node_2312	Central Africa	sensitive
node_2313	Central Africa	sensitive
KM049943	Central Africa	sensitive
node_2322	Central Africa	sensitive
KM049920	Central Africa	sensitive
GQ433810	Central Africa	sensitive
node_2327	South Africa	sensitive
node_2331	South Africa	sensitive
node_2334	Central Africa	sensitive
node_2337	Central Africa	sensitive
GU326106	Europe	sensitive
AY017452	Europe	sensitive
KF716466	Central Africa	sensitive
GU199531	Southern Africa ex SA	sensitive
node_2432	Central Africa	sensitive
node_2677	Central Africa	sensitive
AM071426	Southern Africa ex SA	sensitive
node_2679	Asia	sensitive
node_2716	Central Africa	sensitive
node_2721	Central Africa	sensitive
node_2727	Central Africa	sensitive
node_2731	Central Africa	sensitive
DQ351228	South Africa	sensitive
node_2778	South Africa	sensitive
node_2780	South Africa	sensitive
node_2784	Central Africa	sensitive
GQ433866	Central Africa	sensitive
node_2790	Asia	sensitive
FJ445710	Southern Africa ex SA	sensitive
node_2792	Central Africa	sensitive
GQ400339	Europe	sensitive
node_2796	Europe	sensitive
node_2885	Central Africa	sensitive
node_2888	Central Africa	sensitive
AY901973	South Africa	sensitive
node_2893	Central Africa	sensitive
node_2893	South Africa	
node_2893	Southern Africa ex SA	
node_2900	Central Africa	sensitive
node_2938	Central Africa	sensitive
KM050091	Central Africa	sensitive
KM050090	Central Africa	sensitive
AM260282	East Africa	sensitive
AM260258	East Africa	sensitive
HM191529	Europe	sensitive
node_2992	East Africa	sensitive
AM260225	East Africa	sensitive
node_2997	East Africa	sensitive
AM260246	East Africa	sensitive
AM260270	East Africa	sensitive
AM260244	East Africa	sensitive
AM260223	East Africa	sensitive
EU251870	East Africa	sensitive
node_3005	East Africa	sensitive
AM260262	East Africa	sensitive
node_3009	East Africa	sensitive
node_3023	East Africa	sensitive
AM260269	East Africa	sensitive
AM260275	East Africa	sensitive
node_3093	East Africa	sensitive
AM260243	East Africa	sensitive
node_3101	East Africa	sensitive
AM260271	East Africa	sensitive
GQ399970	Europe	sensitive
AM260249	East Africa	sensitive
AM260291	East Africa	sensitive
node_3118	East Africa	sensitive
node_3314	East Africa	sensitive
AM260238	East Africa	sensitive
AM260232	East Africa	sensitive
AM260248	East Africa	sensitive
node_3320	East Africa	sensitive
AM260305	East Africa	sensitive
node_3325	East Africa	sensitive
FJ591953	South America	sensitive
GQ401304	South America	sensitive
EF379181	South America	sensitive
node_3350	South America	sensitive
FJ591489	South America	sensitive
FJ591967	South America	sensitive
KY496624	Europe	sensitive
FJ591958	South America	sensitive
node_3361	South America	sensitive
node_3362	South America	sensitive
EU340749	South America	sensitive
EU340751	South America	sensitive
node_3369	South America	sensitive
node_3372	South America	sensitive
EU340746	South America	sensitive
FJ591180	South America	sensitive
EU340722	South America	sensitive
